Date,State,Bill,Bill Description,Bill Type,Status,Bill Link
2022-03-29,Florida,H1557,"Requires district school boards to adopt procedures that comport with certain provisions of law for notifying student's parent of specified information; requires such procedures to reinforce fundamental right of parents to make decisions regarding upbringing & control of their children; prohibits school district from adopting procedures or student support forms that prohibit school district personnel from notifying parent about specified information or that encourage student to withhold from parent such information; prohibits school district personnel from discouraging or prohibiting parental notification & involvement in critical decisions affecting student's mental, emotional, or physical well-being; prohibits classroom discussion about sexual orientation or gender identity in certain grade levels; requires school districts to notify parents of healthcare services; authorizes parent to bring action against school district to obtain declaratory judgment; provides for additional award of injunctive relief, damages, & reasonable attorney fees & court costs to certain parents.",Healthcare,Signed/Enacted,https://legiscan.com/FL/bill/H1557/2022
2022-03-25,Utah,HB0011,Student Eligibility in Interscholastic Activities,Youth Athletics,Signed/Enacted,https://legiscan.com/UT/bill/HB0011/2022
2022-03-24,Oklahoma,HB4245,Student athletics; creating the Save Women's Sports Act; effective date; emergency.,Youth Athletics,Crossed Over,https://legiscan.com/OK/bill/HB4245/2022
2022-03-15,Wisconsin,SB915,An Act to amend 448.02 (3) (a); and to create 146.36 and 632.8983 of the statutes; Relating to: gender transition procedures.,Healthcare,Dead/Failed,https://legiscan.com/WI/bill/SB915/2021
2022-03-15,Wisconsin,AB977,An Act to amend 448.02 (3) (a); and to create 146.36 and 632.8983 of the statutes; Relating to: gender transition procedures.,Healthcare,Dead/Failed,https://legiscan.com/WI/bill/AB977/2021
2022-03-15,Wisconsin,SB322,An Act to amend 118.13 (1); and to create 118.132 of the statutes; Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.,Youth Athletics,Dead/Failed,https://legiscan.com/WI/bill/SB322/2021
2022-03-15,Wisconsin,AB196,An Act to amend 118.13 (1); and to create 118.132 of the statutes; Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.,Youth Athletics,Dead/Failed,https://legiscan.com/WI/bill/AB196/2021
2022-03-15,Wisconsin,SB323,An Act to amend 36.12 (1) and 38.23 (1); and to create 36.25 (58) and 38.12 (15) of the statutes; Relating to: designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.,Youth Athletics,Dead/Failed,https://legiscan.com/WI/bill/SB323/2021
2022-03-15,Wisconsin,AB195,An Act to amend 36.12 (1) and 38.23 (1); and to create 36.25 (58) and 38.12 (15) of the statutes; Relating to: designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.,Youth Athletics,Dead/Failed,https://legiscan.com/WI/bill/AB195/2021
2022-03-14,Florida,S0242,"Requiring each agency head to take certain measures to prevent the use of training for agency employees which espouses certain concepts; authorizing municipalities to provide certain training, workshops, or programming; prohibiting municipalities from providing mandatory employee training that espouses certain concepts; requiring contracts with an agency which are entered into or renewed on or after a specified date to include the option to terminate if the contractor provides workforce training that espouses certain concepts; requiring public K-20 educational institutions to ensure certain diversity and inclusion efforts and to prohibit certain discrimination, etc.",Schools / Education,Dead/Failed,https://legiscan.com/FL/bill/S0242/2022
2022-03-14,Minnesota,HF4282,School-sponsored sports teams required to be designated by biological sex.,Youth Athletics,Introduced,https://legiscan.com/MN/bill/HF4282/2021
2022-03-14,Florida,H0211,Provides criminal penalties for health care practitioners who engage in or cause specified practices to be performed on minor under certain conditions.,Healthcare,Dead/Failed,https://legiscan.com/FL/bill/H0211/2022
2022-03-09,Mississippi,HB1099,An Act To Prohibit Physically Incarcerated Offenders From Requesting A Name Change Or Gender Transition; And For Related Purposes.,ID Updates,Dead/Failed,https://legiscan.com/MS/bill/HB1099/2022
2022-03-08,Idaho,H0675,GENITAL MUTILATION OF A CHILD -- Amends existing law to provide for the crime of genital mutilation in certain instances and to provide certain exemptions.,Other,Crossed Over,https://legiscan.com/ID/bill/H0675/2022
2022-03-08,Wyoming,SF0051,AN ACT relating to school sports; prohibiting biological males from athletic teams and sports designated for females in public schools; establishing related causes of action as specified; requiring rulemaking; and providing for effective dates.,Youth Athletics,Dead/Failed,https://legiscan.com/WY/bill/SF0051/2022
2022-03-04,Utah,HB0127,Medical Practice Amendments,Healthcare,Dead/Failed,https://legiscan.com/UT/bill/HB0127/2022
2022-03-03,Iowa,HF2416,"A bill for an act relating to student eligibility requirements in school district, accredited nonpublic school, regent institution, community college, and certain other institution of higher education athletics based on sex, and including effective date provisions. (Formerly HF 2309.) Effective date: 03/03/2022.",Youth Athletics,Signed/Enacted,https://legiscan.com/IA/bill/HF2416/2021
2022-03-03,Louisiana,HB570,Prohibits certain procedures to alter the sex of a minor child,Healthcare,Introduced,https://legiscan.com/LA/bill/HB570/2022
2022-03-02,West Virginia,SB498,Creating Anti-Racism Act of 2022,Schools / Education,Crossed Over,https://legiscan.com/WV/bill/SB498/2022
2022-03-01,Rhode Island,S2501,Categorizes women by their biological identity at birth rather than their gender identity for purpose of organized sports.,Youth Athletics,Introduced,https://legiscan.com/RI/bill/S2501/2022
2022-02-28,Minnesota,HF3843,Human Rights Act provisions governing gender specific accommodations clarified.,Public Facilities,Introduced,https://legiscan.com/MN/bill/HF3843/2021
2022-02-24,Georgia,SB435,"A BILL to be entitled an Act to amend Title 20 of the Official Code of Georgia Annotated, relating to education, so as to provide that it shall be unlawful for Georgia public schools or participating private schools whose students or teams compete against a Georgia public school to operate, sponsor, or facilitate athletic programs or activities that permit a person of one gender to participate in an athletic program or activity that is designated for persons of the opposite gender; to provide for exceptions; to provide for private rights of action and awards of attorney fees; to provide for legislative findings and intent; to provide for definitions; to provide for a short title; to provide for related matters; to repeal conflicting laws; and for other purposes.",Youth Athletics,Crossed Over,https://legiscan.com/GA/bill/SB435/2021
2022-02-22,Missouri,HB2735,Establishes guidelines for public school student participation in athletic contests organized by sex,Youth Athletics,Introduced,https://legiscan.com/MO/bill/HB2735/2022
2022-02-22,Missouri,HB2734,Establishes guidelines for student participation in athletic contests organized by sex,Youth Athletics,Introduced,https://legiscan.com/MO/bill/HB2734/2022
2022-02-18,United States,HB6764,Establishes a framework to prohibit correctional institutions at the federal and state levels from using gender identity to house inmates of one biological sex with inmates of the other biological sex.,Other,Introduced,https://legiscan.com/US/bill/HB6764/2021
2022-02-17,Iowa,SF2342,"A bill for an act relating to student eligibility requirements in school district, accredited nonpublic school, charter school, community college, and regent institution athletics based on sex.(Formerly SSB 3146.)",Youth Athletics,Introduced*,https://legiscan.com/IA/bill/SF2342/2021
2022-02-16,Iowa,SSB3146,"A bill for an act relating to student eligibility requirements in school district, accredited nonpublic school, charter school, community college, and regent institution athletics based on sex.(See SF 2342.)",Youth Athletics,Introduced*,https://legiscan.com/IA/bill/SSB3146/2021
2022-02-16,Missouri,HB2717,Modifies provisions relating to certificates of birth,ID Updates,Introduced,https://legiscan.com/MO/bill/HB2717/2022
2022-02-14,Kentucky,HB495,Create a new range in KRS Chapter 446 to define terms; establish protections from governmental discrimination against any person or organization for sincerely held religious beliefs and moral convictions regarding the sex of individuals who may enter into marriage; establish administrative and civil remedies for violations.,Nondiscrimination Protections,Introduced,https://legiscan.com/KY/bill/HB495/2022
2022-02-11,Delaware,SB227,"This Act generally requires a student athlete to compete for athletic teams or in sports associated with their biological sex, as determined at or near birth and based on the students birth certificate or other government record if a birth certificate is unobtainable. An exception is permitted to allow female athletes to compete in male sports if a corresponding female sport is not available.",Youth Athletics,Introduced,https://legiscan.com/DE/bill/SB227/2021
2022-02-10,Mississippi,SB2356,An Act To Enact The Real You Act Of 2022; To Define Terms; To Prohibit Physically Incarcerated Offenders From Requesting A Name Change; To Prohibit Minors From Requesting Legal Recognition Of A Gender Transition; To Provide Certain Exceptions; And For Related Purposes.,ID Updates,Dead/Failed,https://legiscan.com/MS/bill/SB2356/2022
2022-02-09,Iowa,HF2309,A bill for an act relating to student eligibility requirements in school district and accredited nonpublic school athletics based on sex.(See HF 2416.),Youth Athletics,Introduced*,https://legiscan.com/IA/bill/HF2309/2021
2022-02-08,Missouri,HB2649,Creates provisions relating to gender transition procedures,Healthcare,Introduced,https://legiscan.com/MO/bill/HB2649/2022
2022-02-07,Oklahoma,SB1249,Municipalities; designating all bathrooms to be single gender; prohibiting ordinances contrary to act. Effective date. Emergency.,Public Facilities,Introduced*,https://legiscan.com/OK/bill/SB1249/2022
2022-02-07,Oklahoma,HB3240,Oklahoma Save Adolescents from Experimentation (SAFE) Act; effective date.,Healthcare,Introduced*,https://legiscan.com/OK/bill/HB3240/2022
2022-02-07,Oklahoma,SB1164,Schools; directing certain restrooms and changing facilities to be designated in certain manner. Effective date. Emergency.,Public Facilities,Introduced*,https://legiscan.com/OK/bill/SB1164/2022
2022-02-04,South Dakota,SB46,Protect fairness in women's sports.,Youth Athletics,Signed/Enacted,https://legiscan.com/SD/bill/SB46/2022
2022-02-03,Tennessee,SB2777,"As introduced, specifies that a teacher or other employee of a public school or LEA is not required to refer to a student using the student's preferred pronoun if the pronoun does not align with the student's biological sex; insulates a teacher or other employee of a public school or LEA from civil liability and adverse employment action for referring to a student using the pronoun aligned with the student's biological sex instead of the student's preferred pronoun. - Amends TCA Title 49, Chapter 6.",Schools / Education,Introduced,https://legiscan.com/TN/bill/SB2777/2021
2022-02-03,Maryland,HB757,Requiring certain interscholastic and intramural athletic teams or sports sponsored by certain schools to be expressly designated based on biological sex; prohibiting certain entities from taking certain adverse actions against a school or county board of education for maintaining separate interscholastic and intramural athletic teams and sports for students of the female sex; and providing that certain individuals have the right to bring a civil action under certain circumstances.,Youth Athletics,Introduced*,https://legiscan.com/MD/bill/HB757/2022
2022-02-03,Alabama,HB266,"Public health, minors, biological male or female, sexual state, practices to alter or affirm minor's sexual identity or perception such as prescribing puberty blocking medication or surgeries, prohibited, exceptions, nurses and school personnel not to withhold information from parents, violations a Class C felony",Healthcare,Introduced,https://legiscan.com/AL/bill/HB266/2022
2022-02-02,Tennessee,SB2696,"As introduced, enacts the “Youth Health Protection Act.” - Amends TCA Title 8; Title 9; Title 14; Title 33; Title 63 and Title 68.",Healthcare,Introduced,https://legiscan.com/TN/bill/SB2696/2021
2022-02-02,Tennessee,HB2835,"As introduced, enacts the “Youth Health Protection Act.” - Amends TCA Title 8; Title 9; Title 14; Title 33; Title 63 and Title 68.",Healthcare,Introduced,https://legiscan.com/TN/bill/HB2835/2021
2022-02-01,West Virginia,HB4016,"The purpose of this bill is to prohibit race or sex stereotyping, biologically and or genetically counter factual instruction, and/or or a biased and historically inaccurate account of comparative political economic systems in 1) instruction provided to pupils in school districts and independent charter schools; and 2) training provided to employees of school boards and independent charter schools. Under the bill, any course or part of any curriculum or pedagogy, or employee training that violates the requirements of the act is prohibited. Among the concepts that are prohibited from being taught under the bill are the following: that one race or sex is inherently superior to another race or sex and that an individual, by virtue of the individual’s race or sex, bears responsibility for acts committed in the past by other individuals of the same race or sex, that persons must recognize identifications contrary to biology and/or genetics, and the presentation of any socialist, communist, or otherwise Marxist, Maoist or critical theory inspired system of political economy without the accurate inclusion of the historically documented scale of state sponsored terror and murder, economic inefficiency, and starvations which have occurred under such forms of political economy and co-equal instructional time dedicated to free-market economies, capitalism and freely elected constitutional democratic republics. The bill provides that the state superintendent of public instruction notify parents and employees of violations of the act, waives sovereign immunity for violations of the act, and provides a private right of action by a parent, guardian or employee for violations of the act.  The bill also requires each school board to post all curricula and training for teachers used in schools in the school district on the school district’s internet site and, if a school board maintains an internet site for an individual school, on the individual school’s internet site. If an internet site is maintained for an independent charter school, the bill requires the authorizer of the independent charter school to ensure that all curricula used in the independent charter school are posted on the independent charter school’s internet site. Under the bill, upon request, a school board or independent charter school operator must provide a printed copy of any curriculum that it is required to post on its internet site, at no cost to the requester.",Schools / Education,Introduced*,https://legiscan.com/WV/bill/HB4016/2022
2022-02-01,South Dakota,HB1005,Provide for the designated use of public school multi-occupancy rooms and sleeping rooms.,Public Facilities,Crossed Over,https://legiscan.com/SD/bill/HB1005/2022
2022-02-01,Mississippi,SB2679,"An Act Entitled The ""transparency In Education Act""; To Provide Parents Of Public School Students Certain Rights Related To Their Child's Education, Including The Right To Review A Syllabus, Curriculum And Teacher-training Materials And Meet With The Teacher To Discuss Course Content, To Require Public Schools To Adopt Procedures To Ensure That A Parent Provides Written Permission Before Their Child Participates In Identity Curriculum Or Critical Theory Curriculum And Allow Parents To Exempt Their Child From Any Specific Lessons That Are Objectionable To The Family, To Direct Public Schools To Hold A Curriculum Night To Allow Parents To Review The Curriculum And Meet With Teachers And Staff, To Provide Parental Access To Certain School District Records Concerning Their Child, To Provide Complaint Procedures; To Amend Section 37-13-9, Mississippi Code Of 1972, In Conformity; And For Related Purposes.",Schools / Education,Dead/Failed,https://legiscan.com/MS/bill/SB2679/2022
2022-02-01,Mississippi,SB2111,"An Act To Create The Transgender 21 Act; To Prohibit The State, Its Agents, And Political Subdivision From Infringing On A Parent's Right To Withhold Consent For Any Treatment, Activity Or Mental Health Care Services That Are Designed And Intended To Form Their Child's Conceptions Of Sex And Gender Or To Treat Gender Dysphoria Or Gender Nonconformity; To Prohibit Certain Medical Procedures From Being Performed Upon A Minor; To Provide A Penalty For Any Medical Profession Who Performs Certain Medical Procedures Upon A Minor; To Provide A Good-faith Exception For A Minor Born With A Medically Verifiable Genetic Disorder Of Sexual Development; To Prohibit Any State Agency, Political Subdivision Or Licensing Organization From Forbidding, Penalizing Or Taking Adverse Action Against An Individual Who Gives Or Receives Counsel, Advice, Guidance Or Other Speech Or Communication Consistent With Conscience Or Religious Belief; To Provide That No Individual Shall Be Discriminated Against For Providing Information About A Violation Of This Act To Certain Authorities; To Provide A Private Cause Of Action For Violations Of This Act; To Preempt Political Subdivisions From Promulgating Rules Or Regulations That Limits The Professional Conduct And Judgment Of A Mental Health Care Professional Or Counselor; To Provide That The Provisions Of This Act Are Severable; And For Related Purposes.",Healthcare,Dead/Failed,https://legiscan.com/MS/bill/SB2111/2022
2022-02-01,Mississippi,HB1147,"An Act To Amend Section 43-21-105, Mississippi Code Of 1972, To Revise The Definition Of Child Abuse To Include Gender Reassignment; And For Related Purposes.",Healthcare,Dead/Failed,https://legiscan.com/MS/bill/HB1147/2022
2022-02-01,Mississippi,SB2728,An Act To Enact The Mississippi Save Adolescents From Experimentation (safe) Act; To Provide For The Legislative Findings Related To The Safe Act; To Define Certain Terms Used In The Act; To Provide That A Physician Or Other Health Care Professional Shall Not Provide Gender Transition Procedures To Any Individual Under 18 Years Of Age; To Provide That A Physician Or Other Health Care Professional Shall Not Refer Any Individual Under 18 Years Of Age To Any Health Care Professional For Gender Transition Procedures; To Allow For Certain Exceptions To The Prohibition That Physicians Cannot Provide Such Services; To Provide That Public Funds Shall Not Be Distributed To Any Entity Or Individual That Provides Gender Transition Procedures To An Individual Under 18 Years Of Age; To Provide For Enforcement Of The Act; To Prohibit A Health Benefit Plan Under An Insurance Plan From Providing Insurance Coverage Of Gender Transition Procedures For Minors; And For Related Purposes.,Healthcare,Dead/Failed,https://legiscan.com/MS/bill/SB2728/2022
2022-01-31,Arizona,HB2608,Gender transition; prohibition,Healthcare,Introduced,https://legiscan.com/AZ/bill/HB2608/2022
2022-01-28,Illinois,HB5505,"Creates the Parental Access and Curriculum Transparency Act, which may be referred to as PACT. Makes findings. Provides that no public school district or public institution of higher education shall direct, require, or otherwise compel a student to personally affirm, adopt, or adhere to specified tenets. Provides that, notwithstanding any other provision of law or administrative rule to the contrary, a school board, parent, legal guardian, or student has the right to object to and refuse any unit of instruction or required course of study that directs, requires, or otherwise compels a student to personally affirm, adopt, or adhere to any of the specified tenets. Provides that school boards have the ultimate obligation to review and resolve objections to school curriculum. Provides a list of ways to resolve objections. Provides that a school board may submit a certified question to the applicable board of elections to approve or disapprove of funding certain curriculum. Provides that, notwithstanding any provision of law to the contrary, no distinction or classification of students shall be made on account of race or color, but nothing in the provisions shall be construed to prohibit the required collection or reporting of demographic data by public school districts or public institutions of higher education. Effective immediately.",Schools / Education,Introduced*,https://legiscan.com/IL/bill/HB5505/2021
2022-01-21,West Virginia,HB4315,Ban people from picking a correctional facility based on their gender choice,Other,Introduced*,https://legiscan.com/WV/bill/HB4315/2022
2022-01-21,Virginia,SB766,"Schools; athletics; participation in female sports; civil cause of action. Requires each elementary or secondary school or a private school that competes in sponsored athletic events against such public schools to designate athletic teams, whether a school athletic team or an intramural team sponsored by such school, based on biological sex as follows: (i) ""males,"" ""men,"" or ""boys""; (ii) ""females,"" ""women,"" or ""girls""; or (iii) ""coed"" or ""mixed."" Under the bill, male students are not permitted to participate on any school athletic team or squad designated for ""females,"" ""women,"" or ""girls""; however, this provision does not apply to physical education classes at schools. The bill provides civil penalties for students and schools that suffer harm as a result of a violation of the bill. Such civil actions are required to be initiated within two years after the harm occurred.  Schools; athletics; participation in female sports; civil cause of action. Requires each elementary or secondary school or a private school that competes in sponsored athletic events against such public schools to designate athletic teams, whether a school athletic team or an intramural team sponsored by such school, based on biological sex as follows: (i) ""males,"" ""men,"" or ""boys""; (ii) ""females,"" ""women,"" or ""girls""; or (iii) ""coed"" or ""mixed."" Under the bill, male students are not permitted to participate on any school athletic team or squad designated for ""females,"" ""women,"" or ""girls""; however, this provision does not apply to physical education classes at schools. The bill provides civil penalties for students and schools that suffer harm as a result of a violation of the bill. Such civil actions are required to be initiated within two years after the harm occurred.",Youth Athletics,Introduced*,https://legiscan.com/VA/bill/SB766/2022
2022-01-20,Arizona,HB2294,State documents; sex identification,ID Updates,Introduced,https://legiscan.com/AZ/bill/HB2294/2022
2022-01-20,Tennessee,SB1862,"As introduced, prohibits males from participating in public higher education sports that are designated for females; creates a cause of action for violations that deprive a student of an athletic opportunity or that cause direct or indirect harm to a student at the middle school, high school, or postsecondary level. - Amends TCA Title 49.",Youth Athletics,Introduced,https://legiscan.com/TN/bill/SB1862/2021
2022-01-20,Tennessee,HB1894,"As introduced, prohibits males from participating in public higher education sports that are designated for females; creates a cause of action for violations that deprive a student of an athletic opportunity or that cause direct or indirect harm to a student at the middle school, high school, or postsecondary level. - Amends TCA Title 49.",Youth Athletics,Introduced,https://legiscan.com/TN/bill/HB1894/2021
2022-01-20,Arizona,HB2314,Public schools; restrooms; reasonable accommodations,Public Facilities,Introduced,https://legiscan.com/AZ/bill/HB2314/2022
2022-01-19,Arizona,HB2285,Sex education; child abuse prevention,Youth Athletics,Introduced,https://legiscan.com/AZ/bill/HB2285/2022
2022-01-18,Arizona,HB2293,School employees; students; gender pronouns,Schools / Education,Introduced,https://legiscan.com/AZ/bill/HB2293/2022
2022-01-18,Arizona,HB2292,Birth certificates; gender,ID Updates,Introduced,https://legiscan.com/AZ/bill/HB2292/2022
2022-01-18,Missouri,HB2461,Establishes guidelines for public school student participation in athletic contests organized by sex,Youth Athletics,Introduced,https://legiscan.com/MO/bill/HB2461/2022
2022-01-18,Alaska,HB230,"An Act relating to school athletics, recreation, athletic teams, and sports.",Youth Athletics,Introduced,https://legiscan.com/AK/bill/HB230/2021
2022-01-18,Alabama,HB150,"Public health, medical procedures for minors intended to alter appearance of gender prohibited, exceptions provided, criminal penalties provided",Healthcare,Introduced,https://legiscan.com/AL/bill/HB150/2022
2022-01-13,Washington,HB1960,Concerning the housing of inmates in state correctional facilities.,Public Facilities,Introduced*,https://legiscan.com/WA/bill/HB1960/2021
2022-01-13,Iowa,SF2025,A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.,Public Facilities,Introduced*,https://legiscan.com/IA/bill/SF2025/2021
2022-01-12,Virginia,HB988,"Treatment of transgender students; model policies. Eliminates the requirement that each school board adopt policies that are consistent with the model policies developed by the Department of Education concerning the treatment of transgender students in public elementary and secondary schools. The bill also removes the requirement for such model policies to include information, guidance, procedures, and standards relating to the use of school facilities, requires the Department to amend its model policies to remove any such information, guidance, procedures, or standards, and requires the Department to make such amended model policies available to each school board no later than the beginning of the 2022 - 2023 school year.",Public Facilities,Introduced*,https://legiscan.com/VA/bill/HB988/2022
2022-01-12,United States,SB3481,Establishes a framework to prohibit correctional institutions at the federal and state levels from using gender identity to house inmates of one biological sex with inmates of the other biological sex.,Other,Introduced,https://legiscan.com/US/bill/SB3481/2021
2022-01-12,West Virginia,HB2171,Vulnerable Child Protection Act,Healthcare,Introduced*,https://legiscan.com/WV/bill/HB2171/2022
2022-01-12,Virginia,HB1126,"Public education; parental rights; access to certain Public education; parental rights; access to certain facilities and accommodations; instructional content; bullying. Declares that the parent of any student enrolled in a public elementary or secondary school in the Commonwealth has the right to (i) obtain and review any educational material and curriculum utilized in any class or course in which the student is enrolled; (ii) opt his child out of any class or course activity, lesson, or reading assignment or the use of any audiovisual material or library book to which the parent objects; (iii) easily access a list of the title and author of each book in each classroom and each library in the school in which the student is enrolled; (iv) receive notice of and attend any public meeting of the school board governing the local school division in which the student is enrolled; (v) review the annual school division budget and expenditures; (vi) send his child to attend school in a safe environment; and (vii) be updated by the school principal on any violent activity in the school in which the student is enrolled. The bill requires each school board to adopt policies to require each student and school board employee to have access to restrooms, locker rooms, and other changing facilities in public school buildings that are shared only by members of the same biological sex; lodging accommodations during school-sponsored trips that are shared only by members of the same biological sex; and a single-user restroom, locker room, or other changing facility in a public school building, upon request, if the school can reasonably accommodate such a request. The bill also prohibits any school board employee or individual who provides any school-sponsored program from teaching or promoting to any student or school board employee the concept that (a) any race is inherently superior or inferior; (b) any individual is racist, privileged, oppressive, biased, or responsible for actions committed by others of the same race or skin color by virtue of the individual's race or skin color; (c) the United States is fundamentally racist; or (d) market-based economics is inherently racist. The bill finally requires each school board to implement policies and procedures to educate school board employees about bullying and the need to create a school environment in which all individuals are treated with dignity and respect and any incident of bullying is taken seriously and handled in a robust manner.",Public Facilities,Introduced*,https://legiscan.com/VA/bill/HB1126/2022
2022-01-12,Indiana,SB0402,"Family and juvenile law matters. Requires the office of the secretary of family and social services to apply, before July 1, 2022, to the United States Department of Health and Human Services for an amendment to the family and support services Medicaid waiver to create priority status on the waiver for a child who has been adopted. Requires the statewide child fatality review coordinator to provide a data collection form to each local child fatality review team. Provides that the data collection form must mirror the information in the National Fatality Review Case Reporting System Version 5.0 CDR Report Form. Provides that the definition of child abuse or neglect does not refer to a person who identifies a child by the child's biological sex. Requires the department of child services (department) to include in its annual report certain additional information concerning child fatalities. Requires the department to: (1) collect certain disability identification data; (2) create a report concerning the collected data; (3) provide the report to the legislative council; and (4) adopt rules to implement these provisions. Requires the department, before beginning a trial home visit, to conduct a criminal history check on certain individuals, determine whether any of those individuals have prior department history, and establish a safety plan and child care plan. Requires the department to conduct at least one unannounced home visit each week while a child is on a trial home visit. Makes an appropriation to the state department of health to fund additional staff to support local child fatality review teams. Makes conforming changes.",Other,Introduced*,https://legiscan.com/IN/bill/SB0402/2022
2022-01-12,Arizona,SB1130,Child; vulnerable adult; abuse,Healthcare,Introduced,https://legiscan.com/AZ/bill/SB1130/2022
2022-01-11,South Dakota,HB1006,Promote continued fairness in women's sports.,Youth Athletics,Introduced*,https://legiscan.com/SD/bill/HB1006/2022
2022-01-11,New Jersey,S589,""Fairness in Women's Sport Act."",Youth Athletics,Introduced,https://legiscan.com/NJ/bill/S589/2022
2022-01-11,New Jersey,A1630,""Fairness in Women's Sport Act."",Youth Athletics,Introduced,https://legiscan.com/NJ/bill/A1630/2022
2022-01-11,Kentucky,SB84,"Create new sections of KRS Chapter 311 to prohibit the provision of or referral for gender transition procedures to any child under the age of 18 years; define a violation as unprofessional conduct and acting recklessly for purposes of tort claims; permit an action on a violation to be taken by the parent or guardian of the child before the child attains the age of 18 years and by the child within 30 years of the child attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit public funds to be used for the provision of or referral for gender transition procedures to a child under the age of 18 years; prohibit health care services provided under state, local, or county government to include gender transition procedures to a child under the age of 18 years; prohibit tax exemption for gender transition procedures; permit the Attorney General to bring action to enforce provisions; permit members of the General Assembly to intervene as a matter of right if these provisions are challenged; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a child under the age of 18 years; create a new section of KRS Chapter 304.17A to prohibit health benefit plan coverage for gender transition procedures for a child under the age of 18 years and any requirement for coverage of gender transition procedures; EFFECTIVE January 1, 2023.",Healthcare,Introduced,https://legiscan.com/KY/bill/SB84/2022
2022-01-11,Alabama,SB5,"Public health, prohibits medical procedures on minor children intended to alter apprearance of gender with exceptions, provides for certain disclosures by school officials, establishes criminal penalties",Healthcare,Introduced,https://legiscan.com/AL/bill/SB5/2022
2022-01-10,Arizona,SB1045,Minors; gender identity; reassignment; prohibitions,Healthcare,Introduced,https://legiscan.com/AZ/bill/SB1045/2022
2022-01-08,Kentucky,HB253,"Create new sections of KRS Chapter 311 to prohibit the provision of or referral for gender transition procedures to any child under the age of 18 years; define a violation as unprofessional conduct and acting recklessly for purposes of tort claims; permit an action on a violation to be taken by the parent or guardian of the child before the child attains the age of 18 years and by the child within 30 years of the child attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit public funds to be used for the provision of or referral for gender transition procedures to a child under the age of 18 years; prohibit health care services provided under state, local, or county government to include gender transition procedures to a child under the age of 18 years; prohibit tax exemption for gender transition procedures; permit the Attorney General to bring action to enforce provisions; permit members of the General Assembly to intervene as a matter of right if these provisions are challenged; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a child under the age of 18 years; create a new section of KRS Chapter 304.17A to prohibit health benefit plan coverage for gender transition procedures for a child under the age of 18 years and any requirement for coverage of gender transition procedures; amend KRS 141.019 and 141.039 to prohibit tax exemption for gender transition procedures; EFFECTIVE January 1, 2023.",Healthcare,Introduced,https://legiscan.com/KY/bill/HB253/2022
2022-01-08,Kentucky,HB247,"Amend KRS 156.070 to designate the NAIA and NJCAA as organizations the Kentucky Board of Education must consider in establishing athletic programs, require the Board of Education or agency designated by the Board of Education to manage interscholastic athletics to promulgate administrative regulations or bylaws requiring schools that participate in interscholastic athletics to designate all athletic teams, activities, and sports based upon the biological sex of the students eligible to participate; prohibit male students from participating in athletic teams, activities, and sports designated as girls'; prohibit designated agencies from entertaining complaints or investigations of policies; a new section of KRS Chapter 158 to create a cause of action against a school that violates these provisions; require that the action be brought within two years; create a new section of KRS Chapter 164 to require a postsecondary education institution to designate all intercollegiate and intramural athletic teams, activities, sports, and events that are sponsored or authorized by the institution based on biological sex of students eligible to participate; require that a postsecondary education institution prohibit male students from participating in athletic teams, activities, and sports designated as women's; prohibit designated agencies from entertaining complaints or investigations of policies; create a cause of action against a postsecondary institution that violates these provisions; require that the action be brought within two years; provide short title of Save Women’s Sports Act.",Youth Athletics,Introduced,https://legiscan.com/KY/bill/HB247/2022
2022-01-05,Missouri,HB2086,Prohibits changing sex on birth certificates,ID Updates,Introduced,https://legiscan.com/MO/bill/HB2086/2022
2022-01-05,Missouri,HB1634,Prohibits the use of any curriculum implementing critical race theory in the public schools and institutions of higher education of the state.,Schools / Education,Introduced,https://legiscan.com/MO/bill/HB1634/2022
2022-01-05,Missouri,SB843,Modifies provisions relating to gender reassignment treatment for children,Healthcare,Introduced,https://legiscan.com/MO/bill/SB843/2022
2022-01-05,Missouri,HB2197,Establishes guidelines for student participation in athletic contests organized by sex,Youth Athletics,Introduced,https://legiscan.com/MO/bill/HB2197/2022
2022-01-05,Missouri,SB740,Modifies and creates provisions regarding elementary and secondary education,Youth Athletics,Introduced,https://legiscan.com/MO/bill/SB740/2022
2022-01-05,Missouri,SB781,"Establishes the ""Save Women's Sports Act"" relating to female-only athletics in middle school, high schools, and colleges",Youth Athletics,Introduced,https://legiscan.com/MO/bill/SB781/2022
