State,Number,Summary,Bill Type,Date,Status,Erin Reed's State Risk,Notes,URL,Sponsors,Calendar,Change Hash
California,AB5,The Safe and Supportive Schools Act.,LGBTQ+ Inclusive Training,7/13/2023,From committee: Do pass and re-refer to Com. on APPR. (Ayes 5. Noes 0.) (July 12). Re-referred to Com. on APPR.,Safest,,https://legiscan.com/CA/bill/AB5/2023,"Rick Zbur, Sabrina Cervantes, Susan Eggman, Matt Haney, Ash Kalra, Alex Lee, Evan Low, Caroline Menjivar, Al Muratsuchi, Chris Ward, Scott Wiener, Lori Wilson","Hearing 2023-04-26 13:30 State Capitol, Room 126, Hearing 2023-05-17 09:00 1021 O Street, Room 1100, Hearing 2023-07-12 09:00 1021 O Street, Room 2100",a0e4f833afc7e4002aa34f9976434929
Minnesota,HB1198,,LGBTQ+ Inclusive Training,Unknown,,Safest,,,,,
Minnesota,SF1174,Children's mental health provisions modifications and appropriations,LGBTQ+ Inclusive Training,2/27/2023,Author added Mann,Safest,,https://legiscan.com/MN/bill/SF1174/2023,"Kelly Morrison, John Hoffman, Liz Boldon, Julia Coleman, Alice Mann",,e972ced8f7e4cbec6fb4f33090ef5812
Georgia,SR109,Recognition of Marriage; only the union of man and woman; repeal- CA,Marriage Equality,2/8/2023,Senate Read and Referred,Worst,,https://legiscan.com/GA/bill/SR109/2023,"Gloria Butler, Kim Jackson, Nan Orrock, Sally Harrell, Jason Esteves, Sonya Halpern, Josh McLaurin, Emanuel Jones, Gail Davenport, Valencia Seay, Ed Harbison, Nabilah Islam, Elena Parent, Michael Rhett, Sheikh Rahman, Harold Jones, Donzella James, David Lucas, Nikki Merritt, Derek Mallow",,6c78ef153579f79bc5204cc5f30f262a
New York,S01783,"Establishes the lesbian, gay, bisexual and transgender, and people living with HIV long-term care facility residents' bill of rights; prohibits a long-term care facility or facility staff from discriminating against any resident on the basis of such resident's actual or perceived sexual orientation, gender identity or expression, or HIV status.",Nondiscrimination In Long-Term Care,6/9/2023,returned to senate,Safest,,https://legiscan.com/NY/bill/S01783/2023,"Brad Hoylman-Sigal, Cordell Cleare, Jeremy Cooney, Kristen Gonzalez, Michelle Hinchey, Robert Jackson, Timothy Kennedy, Rachel May, Zellnor Myrie, Jessica Ramos, Gustavo Rivera, Julia Salazar, Jessica Scarcella-Spanton, Luis Sepulveda, James Skoufis, Toby Stavisky, Lea Webb",Hearing 2023-01-31 00:00 Room 124 CAP,af6844b717b8cc56976744d70a1d527e
Arkansas,SB60,To Abolish The Panic Defense.,Panic Legal Defense Abolition,5/1/2023,Sine Die adjournment,Worst,,https://legiscan.com/AR/bill/SB60/2023,Linda Chesterfield,"Hearing 2023-01-23 10:00 Room 171, Hearing 2023-01-30 10:00 Room 171, Hearing 2023-02-01 10:00 Room 171, Hearing 2023-02-06 10:00 Room 171, Hearing 2023-02-08 10:00 Room 171, Hearing 2023-02-13 10:00 Room 171, Hearing 2023-02-14 10:00 Room 171, Hearing 2023-02-15 10:00 Room 171, Hearing 2023-02-20 10:00 Room 171, Hearing 2023-02-21 10:00 Room 171, Hearing 2023-02-22 10:00 Room 171, Hearing 2023-02-27 10:00 Room 171, Hearing 2023-03-01 10:00 Room 171, Hearing 2023-03-06 10:00 Room 171, Hearing 2023-03-08 10:00 Room 171, Hearing 2023-03-13 10:00 Room 171, Hearing 2023-03-14 10:00 Room 171, Hearing 2023-03-15 10:00 Room 171, Hearing 2023-03-27 10:00 Room 171, Hearing 2023-03-29 10:00 Room 171, Hearing 2023-04-03 10:00 Room 171, Hearing 2023-04-04 10:00 Room 171, Hearing 2023-04-05 10:00 Room 171",119ffdf63ab777955dcfba35baab14c4
Florida,S0328,Gay and Transgender Panic Legal Defenses,Panic Legal Defense Abolition,5/5/2023,Died in Criminal Justice,DO NOT TRAVEL,,https://legiscan.com/FL/bill/S0328/2023,Lauren Book,,ea0ede1f6a5991cd3823c4011dd61671
Florida,H0393,Gay and Transgender Panic Legal Defenses,Panic Legal Defense Abolition,5/5/2023,Died in Criminal Justice Subcommittee,DO NOT TRAVEL,,https://legiscan.com/FL/bill/H0393/2023,Jennifer Harris,,d70467bcc6fd9ace74502fa5ae976415
Maryland,HB426,"Correctional Facilities - Transgender, Nonbinary, and Intersex Inmates (Transgender Respect, Agency, and Dignity Act)",Prison Nondiscrimination,2/1/2023,Hearing 2/21 at 1:00 p.m.,Safest,,https://legiscan.com/MD/bill/HB426/2023,"Lesley Lopez, Heather Bagnall, Lorig Charkoudian, Charlotte Crutchfield, Bonnie Cullison, Kris Fair, Linda Foley, Brooke Grossman, Kevin Harris, Anne Kaiser, Mary Lehman, Robbyn Lewis, Aletheia McCaskill, Bernice Mireku-North, David Moon, Julie Palakovich Carr, Lily Qi, Kirill Reznik, Sheila Ruth, Karen Simpson, Jared Solomon, Vaughn Stewart, Deni Taveras, Joe Vogel",Hearing 2023-02-21 13:00 ,ab93f024db079e2a65390b549751e077
New Jersey,A3209,Requires DOC to assign transgender inmate to State correctional facility based on inmate's gender identity and use inmate's preferred gender pronoun.,Prison Nondiscrimination,3/7/2022,"Introduced, Referred to Assembly Law and Public Safety Committee",Safest,,https://legiscan.com/NJ/bill/A3209/2022,Shanique Speight,,7d45f7c416b17b7d2aeb3f13694929ad
New York,S02860,"Enacts the ""gender identity respect, dignity and safety act""; relates to the treatment and placement of incarcerated individuals based upon gender identity; requires that incarcerated individuals in state and local correctional facilities who have a gender identity different from their assigned sex at birth be addressed and have access to commissary items, clothing and other materials that are consistent with the person's gender identity; establishes that incarcerated individuals shall be presumptively placed in a correctional facility with persons of the gender that most closely aligns with such person's self-attested gender identity unless the person opts out of such placement.",Prison Nondiscrimination,1/25/2023,"REFERRED TO CRIME VICTIMS, CRIME AND CORRECTION",Safest,,https://legiscan.com/NY/bill/S02860/2023,"Julia Salazar, Jabari Brisport, Samra Brouk, Michael Gianaris, Kristen Gonzalez, Peter Harckham, Brad Hoylman-Sigal, Robert Jackson, Liz Krueger, Zellnor Myrie, Jessica Ramos, Gustavo Rivera, Luis Sepulveda",,2bc6e2e2515e206c0b5a0391f90fb024
New York,A00709,"Enacts the ""gender identity respect, dignity and safety act""; relates to the treatment and placement of incarcerated individuals based upon gender identity; requires that incarcerated individuals in state and local correctional facilities who have a gender identity different from their assigned sex at birth be addressed and have access to commissary items, clothing and other materials that are consistent with the person's gender identity; establishes that incarcerated individuals shall be presumptively placed in a correctional facility with persons of the gender that most closely aligns with such person's self-attested gender identity unless the person opts out of such placement.",Prison Nondiscrimination,3/22/2023,print number 709a,Safest,,https://legiscan.com/NY/bill/A00709/2023,"Nily Rozic, Emily Gallagher, Jessica Gonzalez-Rojas, Charles Lavine, Jo Simon, Harvey Epstein, Harry Bronson, David Weprin, Anna Kelles, Rebecca Seawright, Chantel Jackson, Christopher Burdick, Deborah Glick, Phara Souffrant Forrest, Donna Lupardo, Patricia Fahy, Catalina Cruz, Eddie Gibbs, Alex Bores, Linda Rosenthal, Juan Ardila, Tony Simone, Steven Raga, Maritza Davila, Karines Reyes",,f0cc55154990315a43abd1f59ce9747f
Washington,HB1470,Concerning private detention facilities.,Prison Nondiscrimination,5/11/2023,Effective date 5/11/2023.,Safest,,https://legiscan.com/WA/bill/HB1470/2023,"Lillian Ortiz-Self, Frank Chopp, Tarra Simmons, Sharon Santos, Cindy Ryu, Tina Orwall, Mike Chapman, Mia Gregerson, Beth Doglio, Strom Peterson, Alex Ramel, Nicole Macri, Timm Ormsby, April Berg, Mari Leavitt, Jessica Bateman, Melanie Morgan, Jake Fey","Hearing 2023-02-07 16:00 House Committee on Community Safety, Justice, & Reentry, Hearing 2023-02-14 16:00 House Committee on Community Safety, Justice, & Reentry, Hearing 2023-02-16 08:00 House Committee on Community Safety, Justice, & Reentry, Hearing 2023-02-22 13:30 House Committee on Appropriations, Hearing 2023-02-24 09:00 House Committee on Appropriations, Hearing 2023-03-13 10:30 Senate Committee on Human Services, Hearing 2023-03-21 10:30 Senate Committee on Human Services, Hearing 2023-03-30 12:30 Senate Committee on Ways & Means, Hearing 2023-04-03 10:00 Senate Committee on Ways & Means",b59bafc3778bae19b287ea65e1d5d925
Texas,HB851,Relating to the creation of a task force to study the legal and societal barriers to equality for transgender persons.,Prison Nondiscrimination,3/1/2023,Referred to State Affairs,Worst,,https://legiscan.com/TX/bill/HB851/2023,Ron Reynolds,,daaadb7f8a4371e4363d8babe524ae2f
New York,SB00744,,Prison Nondiscrimination,Unknown,,Safest,,,,,
Maryland,SB761,"Correctional Facilities - Transgender, Nonbinary, and Intersex Inmates (Transgender Respect, Agency, and Dignity Act)",Prison Nondiscrimination,2/14/2023,Hearing 3/15 at 1:00 p.m.,Safest,,https://legiscan.com/MD/bill/SB761/2023,Jill Carter,Hearing 2023-03-15 13:00 ,8ec5dd291597cd3abc1da734fae21b6a
New York,S00312,Relates to correctional facility visits by the correctional association; authorizes the correctional association to visit correctional facilities at any time and without advance notice; requires reports to be published on the department of corrections and community supervision websites.,Prison Nondiscrimination,1/4/2023,"REFERRED TO CRIME VICTIMS, CRIME AND CORRECTION",Safest,,https://legiscan.com/NY/bill/S00312/2023,"Julia Salazar, Jabari Brisport, Cordell Cleare, Liz Krueger, Gustavo Rivera, Luis Sepulveda",,e2ec37d1cca283dd4cdb63903c6d3893
Maryland,HB385,Correctional Services - Restrictive Housing - Limitations (Maryland Mandela Act),Prison Nondiscrimination,1/26/2023,Hearing 2/14 at 1:00 p.m.,Safest,,https://legiscan.com/MD/bill/HB385/2023,Sandy Bartlett,Hearing 2023-02-14 13:00 ,2024e53e8c410b5e0b7adb502aefea28
Maryland,SB45,Correctional Services - Restrictive Housing - Limitations (Maryland Mandela Act),Prison Nondiscrimination,2/14/2023,Withdrawn by Sponsor,Safest,,https://legiscan.com/MD/bill/SB45/2023,Susan Lee,,2856dec0984f40bc6c08d3402024fb9c
Maryland,SB459,Correctional Services - Restrictive Housing - Limitations (Maryland Mandela Act),Prison Nondiscrimination,3/27/2023,Referred to interim study by Judicial Proceedings,Safest,,https://legiscan.com/MD/bill/SB459/2023,"Mary Washington, Jill Carter",Hearing 2023-03-08 13:00 ,b27c617df5ef3abbbacc0db81f5bc286
Hawaii,SB347,Relating To Corrections.,Prison Nondiscrimination,1/30/2023,"Re-Referred to PSM, JDC/WAM.",Safest,,https://legiscan.com/HI/bill/SB347/2023,Karl Rhoads,,44f04980d048c5c5d601dced553017f8
Hawaii,HB1280,Relating To Corrections.,Prison Nondiscrimination,1/30/2023,"Referred to CMV, JHA, FIN, referral sheet 3",Safest,,https://legiscan.com/HI/bill/HB1280/2023,Mark Hashem,,284e4f670a373269d16719fcf70b2d97
Hawaii,SB1503,Relating To Health.,Provider Protections,2/3/2023,"Re-Referred to HHS, CPN/JDC.",Safest,,https://legiscan.com/HI/bill/SB1503/2023,"Chris Lee, Stanley Chang, Gil Keith-agaran, Angus McKelvey, Karl Rhoads, Joy San Buenaventura, Michelle Kidani",,6be372fd7ef0f88eeadac036ddd263d5
Vermont,S0037,An act relating to access to legally protected health care activity and regulation of health care providers,Provider Protections,5/10/2023,"Senate Message, signed by Governor May 10, 2023",Safest,,https://legiscan.com/VT/bill/S0037/2023,"Virginia Lyons, Ruth Hardy, Alison Clarkson, Kesha Ram Hinsdale, Philip Baruth, Christopher Bray, Brian Campion, Thomas Chittenden, Ann Cummings, Martine Gulick, Wendy Harrison, Nader Hashim, Jane Kitchel, Richard McCormack, Andrew Perchlik, Richard Sears, Tanya Vyhovsky, Anne Watson, Rebecca White, Irene Wrenner","Hearing 2023-01-31 00:00 , Hearing 2023-02-08 00:00 , Hearing 2023-02-09 00:00 , Hearing 2023-02-14 00:00 , Hearing 2023-02-15 00:00 , Hearing 2023-02-17 00:00 , Hearing 2023-02-21 00:00 , Hearing 2023-02-22 00:00 , Hearing 2023-02-24 00:00 , Hearing 2023-02-28 00:00 , Hearing 2023-03-14 00:00 , Hearing 2023-04-04 00:00 , Hearing 2023-04-05 00:00 , Hearing 2023-04-06 00:00 , Hearing 2023-04-07 00:00 , Hearing 2023-04-11 00:00 , Hearing 2023-04-12 00:00 , Hearing 2023-04-13 00:00 , Hearing 2023-04-14 00:00 , Hearing 2023-04-18 00:00 , Hearing 2023-04-19 00:00 , Hearing 2023-04-20 00:00 , Hearing 2023-04-26 00:00 ",d1866ed2e70cf1d6ed78d4319086191b
Washington,HB1340,Concerning actions by health professions disciplining authorities against license applicants and license holders.,Provider Protections,4/27/2023,Effective date 4/27/2023.,Safest,,https://legiscan.com/WA/bill/HB1340/2023,"Marcus Riccelli, My-Linh Thai, Liz Berry, Timm Ormsby, Frank Chopp, Nicole Macri, Steve Bergquist, Jessica Bateman, Tarra Simmons, Monica Stonier, April Berg, Davina Duerr, Sharon Wylie, Tana Senn, Jamila Taylor, Joe Fitzgibbon, Julio Cortes, Roger Goodman, Julia Reed, Debra Lekanoff, Emily Alvarado, Alex Ramel, Shelley Kloba, Steve Tharinger, Gerry Pollet","Hearing 2023-01-24 13:30 House Committee on Health Care & Wellness, Hearing 2023-01-27 08:00 House Committee on Health Care & Wellness, Hearing 2023-03-09 10:30 Senate Committee on Health & Long Term Care, Hearing 2023-03-14 08:00 Senate Committee on Health & Long Term Care",7ac6bda8d8a3f05a5289e362da11af84
Washington,SB5400,Concerning actions by health professions disciplining authorities against license applicants and license holders.,Provider Protections,1/16/2023,"First reading, referred to Health & Long Term Care.",Safest,,https://legiscan.com/WA/bill/SB5400/2023,"Jesse Salomon, Rebecca Saldana, Patty Kuderer, Christine Rolfes, Emily Randall, Andrew Billig, Annette Cleveland, Manka Dhingra, Robert Hasegawa, Karen Keiser, Liz Lovelett, Mark Mullet, Jamie Pedersen, Sharon Shewmake, Derek Stanford, Javier Valdez, Claire Wilson",,4af873da60d0660e8c08fc3633c73dca
Arizona,SB1543,Biological sex; team designations; repeal,Repeal of Anti-Trans Law,2/9/2023,Senate read second time,Low,,https://legiscan.com/AZ/bill/SB1543/2023,"Lela Alston, Eva Diaz, Rosanna Gabaldon, Raquel Teran, Nancy Gutierrez, Laura Terech",,709071a890575ebbf7a114923cdff45e
Arizona,HB2068,Team designations; biological sex; repeal,Repeal of Anti-Trans Law,1/18/2023,House read second time,Low,,https://legiscan.com/AZ/bill/HB2068/2023,"Nancy Gutierrez, Flavio Bravo, Andres Cano, Patricia Contreras, Oscar De Los Santos, Melody Hernandez, Christopher Mathis, Analise Ortiz, Marcelino Quiñonez, Mariana Sandoval, Judy Schwiebert, Keith Seaman, Stephanie Stahl Hamilton, Laura Terech, Anastasia Travers",,de8361f826bcfc06735c0416cc2a04b5
California,SB36,"Out-of-state criminal charges: prosecution related to abortion, contraception, reproductive care, and gender-affirming care.",Safe State Bill,5/18/2023,May 18 hearing: Held in committee and under submission.,Safest,,https://legiscan.com/CA/bill/SB36/2023,Nancy Skinner,"Hearing 2023-03-14 09:30 1021 O Street, Room 2200, Hearing 2023-04-18 13:30 1021 O Street, Room 2100, Hearing 2023-05-01 10:00 1021 O Street, Room 2200, Hearing 2023-05-18 00:00 1021 O Street, Room 2200",8b3656087e0b2ad25a6653dab3226b42
Illinois,SB1283,GENDER-AFFIRMING HEALTH CARE,Safe State Bill,2/3/2023,Referred to Assignments,Safest,,https://legiscan.com/IL/bill/SB1283/2023,Mike Simmons,,dbd89c3f7ee1122a89f0e76ca405efb7
Minnesota,HF146,"Out-of-state laws interfering with gender-affirming health care; use of subpoenas to gather information prevented; child custody and child welfare provisions amended; and warrant, arrest, and extradition provisions amended.",Safe State Bill,4/27/2023,Secretary of State Chapter 29 ,Safest,,https://legiscan.com/MN/bill/HF146/2023,"Leigh Finke, Liz Reyer, Alicia Kozlowski, Brion Curran, Jamie Becker-finn, Cedrick Frazier, Heather Keeler, Athena Hollins, Sydney Jordan, Maria Perez-Hedges, Jessica Hanson, Zack Stephenson, Liz Olson, Hodan Hassan, Kelly Moller, Heather Edelson, Ruth Richardson, Jamie Long, Emma Greenman, Samantha Sencer-Mura, Josiah Hill, Melissa Hortman, Sandra Feist, Kristi Pursell, Mary Clardy, Amanda Hemmingsen-Jaeger, Luke Frederick, Fue Lee, Samantha Vang, Rick Hansen, Peter Fischer, Brad Tabke, Liz Lee, Samakab Hussein, Esther Agbaje","Hearing 2023-01-31 08:30 , Hearing 2023-01-31 08:30 , Hearing 2023-02-21 08:30 ",945fcc68c38b4f50f9dc50d5fb5ff9b9
Minnesota,SF63,Gender-affirming health care out-of-state law interference provision modifications,Safe State Bill,4/12/2023,"Rule 45-amend, subst. General Orders HF146, SF indefinitely postponed",Safest,,https://legiscan.com/MN/bill/SF63/2023,"Erin Maye Quade, David Dibble, Clare Oumou Verbeten, Lindsey Port, Jen McEwen","Hearing 2023-02-10 10:00 , Hearing 2023-03-24 09:00 , Hearing 2023-04-04 13:00 ",5df5fc98a13b7a3ac78e2613a2fd2f78
Minnesota,HF715,"Out-of-state laws interfering with gender-affirming health care; use of subpoenas to gather information prevented; child custody and child welfare provisions amended; and warrant, arrest, and extradition provisions amended.",Safe State Bill,2/8/2023,Authors added Fischer and Pursell,Safest,,https://legiscan.com/MN/bill/HF715/2023,"Leigh Finke, Mike Freiberg, Andrew Smith, Larry Kraft, Samantha Sencer-Mura, Jamie Becker-finn, Carlie Kotyza-Witthuhn, Brion Curran, Peter Fischer, Kristi Pursell",,e0d53de63981f4ac88cb713f2320a4ff
New Hampshire,HB368,Relative to protections related to receiving gender-affirming health care or gender-affirming mental health care.,Safe State Bill,5/18/2023,Full Committee Work Session: 05/24/2023 10:00 am Legislative Office Building 205-207,Moderate,,https://legiscan.com/NH/bill/HB368/2023,"Gerri Cannon, James MacKay, Candace Moulton, Amanda Toll, Marjorie Smith, Kristina Schultz, Amanda Bouldin, Rosemarie Rung, Sherry Dutzy, Matthew Wilhelm, David Watters, Rebecca Perkins Kwoka","Hearing 2023-02-01 13:30 Legislative Office Building 210-211, Hearing 2023-03-07 13:00 State House Reps Hall, Hearing 2023-03-13 09:30 Legislative Office Building 206-208, Hearing 2023-03-15 09:30 Legislative Office Building 301-303, Hearing 2023-05-24 10:00 Legislative Office Building 205-207",ce6b08abef953a2d74f54ea99a518aae
New York,S02475,Prohibits consideration of a law of another state that authorizes a child to be removed from their parent or guardian based on the parent or guardian allowing their child to receive gender-affirming care in custody cases; prohibits law enforcement agencies from cooperating with or providing information to any individual or out-of-state agency or department regarding the provision of lawful gender-affirming care performed in this state; prohibits the issuance of a subpoena in connection with certain out-of-state proceedings relating to seeking health or related information about people who come to New York to receive gender-affirming care; prohibits the arrest of a person for performing or aiding in the lawful performance of gender-affirming care within this state; relates to the extradition of gender-affirming care providers; relates to licensure of health care providers; prohibits insurance providers from taking adverse action against a health care provider who provides gender-affirming care.,Safe State Bill,6/25/2023,APPROVAL MEMO.5,Safest,,https://legiscan.com/NY/bill/S02475/2023,"Brad Hoylman-Sigal, Samra Brouk, Leroy Comrie, Jeremy Cooney, Nathalia Fernandez, Michael Gianaris, Andrew Gounardes, Michelle Hinchey, Robert Jackson, Timothy Kennedy, Liz Krueger, John Liu, Rachel May, Shelley Mayer, Kevin Parker, Jessica Ramos, Gustavo Rivera, Luis Sepulveda, Lea Webb","Hearing 2023-03-28 10:00 Room 124 CAP, Hearing 2023-06-06 00:00 332 CAP",b6b578917729483fe6e27355bbff0980
Vermont,H0089,An act relating to civil and criminal procedures concerning legally protected health care activity,Safe State Bill,5/11/2023,"House message: Governor approved bill on May 10, 2023",Safest,,https://legiscan.com/VT/bill/H0089/2023,"Katherine Donnally, Martin LaLonde, Taylor Small, Julia Andrews, Joseph Andriano, Peter Anthony, John Arrison, Angela Arsenault, Sarita Austin, John Bartholomew, Daisy Berbeco, Matt Birong, Alyssa Black, Tiffany Bluemle, Seth Bongartz, Michelle Bos-Lun, Erin Brady, Jana Brown, Jessica Brumsted, Mollie Burke, Elizabeth Burrows, Tesha Buss, Scott Campbell, Conor Casey, Ela Chapin, Heather Chase, Seth Chase, Robin Chesnut-Tangerman, Kevin Christie, Brian Cina, Sara Coffey, Esme Cole, Peter Conlon, Timothy Corcoran, Mari Cordes, Carl Demrow, Leonora Dodge, Karen Dolan, Kari Dolan, David Durfee, Caleb Elder, Alice Emmons, Bobby Farlice-Rubio, Rey Garofano, Leslie Goldman, Edye Graning, Troy Headrick, Rebecca Holcombe, Robert Hooper, Lori Houghton, Mary Howard, Noah Hyman, Kathleen James, Stephanie Jerome, Emilie Kornheiser, Emilie Krasnow, Kate Lalley, Saudia Lamont, Diane Lanpher, Josie Leavitt, Kate Logan, Emily Long, James Masland, Kate McCann, Mike McCarthy, Jubilee McGill, Marc Mihaly, Brian Minier, Michael Mrowicki, Emma Mulvaney-Stanak, Logan Nicoll, William Notte, Daniel Noyes, Kate Nugent, Carol Ode, Kelly Pajala, Avram Patt, Phil Pouech, Monique Priestley, Barbara Rachelson, Mike Rice, Tristan Roberts, Lawrence Satcowitz, Robin Scheu, Amy Sheldon, Laura Sibilia, Katherine Sims, Trevor Squirrell, Gabrielle Stebbins, Thomas Stevens, Mary-Katherine Stone, Heather Surprenant, Curt Taylor, David Templeman, Tristan Toleno, Dara Torre, Joseph Troiano, Chea Evans, Kirk White, Jonathan Williams, Theresa Wood","Hearing 2023-01-25 00:00 , Hearing 2023-01-26 00:00 , Hearing 2023-01-31 00:00 , Hearing 2023-02-01 00:00 , Hearing 2023-02-02 00:00 , Hearing 2023-02-03 00:00 , Hearing 2023-02-07 00:00 , Hearing 2023-02-09 00:00 , Hearing 2023-02-15 00:00 , Hearing 2023-03-29 00:00 , Hearing 2023-04-07 00:00 , Hearing 2023-04-12 00:00 , Hearing 2023-04-13 00:00 , Hearing 2023-04-19 00:00 , Hearing 2023-04-25 00:00 ",37cb187798406b1d68baece16ae13d7f
Washington,HB1469,Concerning access to reproductive health care services and gender-affirming treatment in Washington state.,Safe State Bill,4/27/2023,Effective date 4/27/2023.,Safest,,https://legiscan.com/WA/bill/HB1469/2023,"Drew Hansen, My-Linh Thai, Frank Chopp, Joe Fitzgibbon, Tarra Simmons, Liz Berry, Vandana Slatter, Sharon Santos, Cindy Ryu, Chipalo Street, Mia Gregerson, Roger Goodman, Strom Peterson, Steve Tharinger, Alex Ramel, Nicole Macri, Timm Ormsby, Kristine Reeves, Tana Senn, Beth Doglio, Marcus Riccelli, Emily Alvarado, Jessica Bateman, Melanie Morgan, Lisa Callan, Steve Bergquist, Gerry Pollet","Hearing 2023-01-24 10:30 House Committee on Civil Rights & Judiciary, Hearing 2023-01-27 10:30 House Committee on Civil Rights & Judiciary, Hearing 2023-03-16 08:00 Senate Committee on Law & Justice, Hearing 2023-03-22 18:00 Senate Committee on Law & Justice, Hearing 2023-03-30 12:30 Senate Committee on Ways & Means, Hearing 2023-04-03 10:00 Senate Committee on Ways & Means",8504e8e9b666e889a14f1d9467fb9dbf
Washington,SB5489,Concerning access to reproductive health care services and gender-affirming treatment in Washington state.,Safe State Bill,3/10/2023,"Senate Rules ""X"" file.",Safest,,https://legiscan.com/WA/bill/SB5489/2023,"Yasmin Trudeau, Lisa Wellman, Manka Dhingra, Robert Hasegawa, Samuel Hunt, Karen Keiser, Marko Liias, Liz Lovelett, Joe Nguyen, Jamie Pedersen, Emily Randall, Rebecca Saldana, Derek Stanford, Javier Valdez, Claire Wilson","Hearing 2023-01-24 10:30 Senate Committee on Law & Justice, Hearing 2023-01-26 08:00 Senate Committee on Law & Justice",7591338664732369099373b45c43be58
New Jersey,A5180,"Establishes certain protections for persons, providing, receiving, and allowing children to receive gender-affirming health care.",Safe State Bill,2/13/2023,"Introduced, Referred to Assembly Health Committee",Safest,,https://legiscan.com/NJ/bill/A5180/2022,"Mila Jasey, Raj Mukherji, Sterley Stanley",,60ba39bcbf57d035554fe0058dfa0c39
New Jersey,S3592,"Establishes certain protections for persons, providing, receiving, and allowing children to receive gender-affirming health care.",Safe State Bill,2/13/2023,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee",Safest,,https://legiscan.com/NJ/bill/S3592/2022,Andrew Zwicker,,fd57f1da6f148fafd03f470e05f50626
Nevada,SB153,Makes various changes relating to corrections. (BDR 16-126),Prison Nondiscrimination,5/31/2023,"Approved by the Governor. Chapter 146. (Effective May 31, 2023)",Low,,https://legiscan.com/NV/bill/SB153/2023,"Melanie Scheible, Dallas Harris, Patricia Spearman, Cecelia Gonzalez, Sarah Peters, Edgar Flores, Dina Neal","Hearing 2023-02-28 13:00 , Hearing 2023-03-21 13:00 Room 2135, Hearing 2023-04-07 13:00 Room 2135, Hearing 2023-05-19 08:00 Room 3138, Hearing 2023-05-19 00:00 Room 3138",187f6a440f6abc15cfe264449e22dfb9
New Mexico,SB13,Reproductive Health Provider Protections,Safe State Bill,4/5/2023,Signed by Governor - Chapter 167 - Apr. 5,Safest,,https://legiscan.com/NM/bill/SB13/2023,"Linda Lopez, Antoinette Sedillo Lopez, Nancy Rodriguez, Brenda McKenna, Siah Correa Hemphill","Hearing 2023-02-20 00:00 Room 311, Hearing 2023-02-22 00:00 Room 311, Hearing 2023-03-04 09:00 Room 321, Hearing 2023-03-15 13:30 Room 309",01b9d04942e540d11a256d2266777339
California,AB793,Privacy: reverse demands.,Safe State Bill,6/30/2023,"In committee: Set, first hearing. Hearing canceled at the request of author.",Safest,,https://legiscan.com/CA/bill/AB793/2023,"Mia Bonta, Cecilia Aguiar-Curry, Laura Friedman, Corey Jackson, Ash Kalra, Alex Lee, Tina McKinnor, Robert Rivas","Hearing 2023-04-11 09:00 State Capitol, Room 126, Hearing 2023-04-18 09:00 State Capitol, Room 437, Hearing 2023-05-10 09:00 1021 O Street, Room 1100, Hearing 2023-05-18 00:00 1021 O Street, Room 1100, Hearing 2023-06-27 08:30 1021 O Street, Room 2200, Hearing 2023-07-11 09:00 1021 O Street, Room 2100",14d68aad70ef39d259586328bbd5ba16
Utah,HJR005,Joint Resolution for Gender Reassignment Surgical Health Benefits,LGBTQ+ Resolution,3/3/2023,House/ filed in House file for bills not passed,Worst,,https://legiscan.com/UT/bill/HJR005/2023,Sahara Hayes,,e20d5ff6cb75f58150eb4ff0d997ddb6
Montana,SB315,"Provide for comprehensive sex, gender, and sexuality education in public schools",LGBTQ+ Inclusive Curriculum,3/13/2023,(S) Missed Deadline for General Bill Transmittal,Worst,,https://legiscan.com/MT/bill/SB315/2023,Mary Dunwell,Hearing 2023-02-20 15:00 Room 422,f74f77922b67803d627ec59f31cecb7b
Oregon,HB2002,Relating to health; and declaring an emergency.,Health Care Equity,7/13/2023,Governor signed.,Safest,,https://legiscan.com/OR/bill/HB2002/2023,"Andrea Valderrama, Travis Nelson, Katherine Lieber, Elizabeth Steiner Hayward, Tom Andersen, Ben Bowman, Janelle Bynum, Maxine Dexter, Julianne Fahey, Mark Gamba, David Gomberg, Dacia Grayber, Annessa Hartman, Ken Helm, Paul Holvey, Zach Hudson, Jason Kropf, Pam Marsh, Susan McLain, Daniel Nguyen, Hoa Nguyen, Robert Nosse, Hai Pham, Khanh Pham, Lisa Reynolds, Ricki Ruiz, Nathan Sosa, Thuy Tran, Jules Walters, Wlnsvey Campos, Michael Dembrow, Lew Frederick, Sara Gelser Blouin, Jeffrey Golden, Chris Gorsek, Kayse Jama, James Manning, Mark Meek, Deb Patterson, Floyd Prozanski, Janeen Sollman, Kathleen Taylor, Rob Wagner, Aaron Woods","Hearing 2023-03-20 15:00 HR F, Hearing 2023-03-27 15:00 HR F, Hearing 2023-04-03 15:00 HR F, Hearing 2023-04-12 08:00 H-170, Hearing 2023-04-13 16:30 HR F, Hearing 2023-06-15 12:50 HR C",80462199601e4c292b9c48b04855f1be
